FetchedAt,Origin,Destination,DepartureDate,MinPrice,Currency,NumberOfSegments
2025-06-19T19:20:47.606555,BER,BUD,2025-06-19T21:55:00,100.32,EUR,2
2025-06-19T19:20:47.606572,BER,BUD,2025-06-19T21:20:00,255.82,EUR,2
2025-06-19T19:22:10.752748,BER,VIE,2025-06-19T21:50:00,1963.41,EUR,2
2025-06-19T19:22:10.752766,BER,VIE,2025-06-19T21:50:00,1963.41,EUR,2
2025-06-19T19:22:41.693353,BER,ZRH,2025-06-19T21:40:00,694.61,EUR,2
2025-06-19T19:22:41.693370,BER,ZRH,2025-06-19T21:40:00,734.51,EUR,2
2025-06-19T19:22:41.693375,BER,ZRH,2025-06-19T21:40:00,1368.77,EUR,2
2025-06-19T19:22:41.693380,BER,ZRH,2025-06-19T21:40:00,1377.67,EUR,2
2025-06-19T19:22:41.693383,BER,ZRH,2025-06-19T21:50:00,2289.41,EUR,2
2025-06-19T19:22:41.693387,BER,ZRH,2025-06-19T21:50:00,2289.41,EUR,2
