Domain,Datum,Uhrzeit,Stadt,Preis
at,08.06,01:34,Istanbul,97
at,08.06,01:34,Barcelona,135
at,08.06,01:34,Paris,128
at,08.06,01:34,London,112
at,08.06,01:34,Rom,75
at,08.06,01:34,Palma,93
at,08.06,01:34,Madrid,231
at,08.06,01:34,Malaga,249
de,08.06,01:34,Istanbul,129
de,08.06,01:34,Paris,107
de,08.06,01:34,Barcelona,187
de,08.06,01:34,Palma,52
de,08.06,01:34,London,100
de,08.06,01:34,Zürich,152
de,08.06,01:34,Antalya,485
de,08.06,01:34,Wien,159
es,08.06,01:34,Ibiza,218
es,08.06,01:34,Palma,61
es,08.06,01:34,Londres,148
es,08.06,01:34,Gran,173
es,08.06,01:34,Bruselas,91
es,08.06,01:34,Milán,119
es,08.06,01:34,Ginebra,101
es,08.06,01:34,Lanzarote,212
fr,08.06,01:34,Alger,135
fr,08.06,01:34,Tunis,224
fr,08.06,01:34,Lisbonne,174
fr,08.06,01:34,Porto,185
fr,08.06,01:34,Marrakech,123
fr,08.06,01:34,Barcelone,150
fr,08.06,01:34,Casablanca,371
fr,08.06,01:34,Madrid,98
it,08.06,01:34,Catania,73
it,08.06,01:34,Madrid,69
it,08.06,01:34,Ibiza,39
it,08.06,01:34,Amsterdam,271
it,08.06,01:34,Praga,82
nl,08.06,01:34,Londen,107
nl,08.06,01:34,Alicante,178
nl,08.06,01:34,Palma,105
nl,08.06,01:34,Dublin,81
nl,08.06,01:34,Nice,200
nl,08.06,01:34,Venetië,200
nl,08.06,01:34,Praag,160
nl,08.06,01:34,Malta,243
pt,08.06,01:34,Paris,161
pt,08.06,01:34,Barcelona,105
pt,08.06,01:34,Amsterdã,294
pt,08.06,01:34,Ponta,213
pt,08.06,01:34,Funchal,65
pt,08.06,01:34,Milão,68
pt,08.06,01:34,Terceira,186
pt,08.06,01:34,Dublin,308
